ticker
AAPL
NVDA
AI
TSLA
PLTR
IBRX
CVNA
QQQ
AMD
EOD
INTC
ON
BA
HOOD
DKNG
PFE
SMCI
SBUX
AMZN
EV
DTE
DIS
TLRY
GCP
HIMS
NOW
AMC
GME
SNOW
IRS
OI
HAS
BABA
SNDL
MO
JOBS
UI
SAVE
OPEN
AR
BY
TD
LIFE
TSM
GOOD
CO
AN
FSLY
RIVN
TTM
